💎,物,宝石
📱,必需品,携帯電話
🔋,必需品,電池
🔌,必需品,コンセント
💻,必需品,ノートパソコン
🖥️,必需品,デスクトップパソコン
🖨️,必需品,プリンター
⌨️,必需品,キーボード
🖱️,必需品,マウス
🖲️,必需品,トラックボール
🧮,必需品,そろばん
🎥,必需品,ムービーカメラ
📺,必需品,テレビ
📷,必需品,カメラ
📸,必需品,カメラ
📹,必需品,ビデオカメラ
🔍,必需品,虫メガネ
🔎,必需品,虫メガネ
🕯️,必需品,ろうそく
💡,必需品,電球
🔦,必需品,懐中電灯
📔,必需品,ノート
📕,必需品,本
📖,必需品,本
📗,必需品,本
📘,必需品,本
📙,必需品,本
📚,必需品,本
📓,必需品,ノート
🏷️,必需品,ラベル
💰,必需品,お金の袋
🪙,必需品,コイン
💴,必需品,お札
💵,必需品,お札
💶,必需品,お札
💷,必需品,お札
💳,必需品,クレジットカード
🧾,必需品,レシート
✉️,必需品,封筒
📮,必需品,ポスト
✏️,必需品,鉛筆
🖊️,必需品,ペン
🖌️,必需品,絵筆
🖍️,必需品,クレヨン
📝,必需品,メモ
📅,必需品,カレンダー
📆,必需品,カレンダー
🗓️,必需品,カレンダー
📋,必需品,クリップボード
📌,必需品,画びょう
📍,必需品,画びょう
📎,必需品,クリップ
🖇️,必需品,クリップ
📏,必需品,定規
📐,必需品,三角定規
✂️,必需品,はさみ
🗃️,必需品,書類箱
🗄️,必需品,書類収納棚
🗑️,必需品,ゴミ箱
🔒,必需品,カギを閉じる
🔓,必需品,カギを開ける
🔑,必需品,カギ
🗝️,必需品,カギ
🔨,物,ハンマー
🪓,物,斧
⛏️,物,つるはし
🗡️,物,ダガー
⚔️,物,クロスした剣
🔫,物,ピストル
🪃,物,ブーメラン
🛡️,物,盾
🔗,物,リンク
⛓️,物,チェーン
🪝,物,フック
🧰,物,工具箱
🧲,物,磁石
🪜,物,はしご
💉,物,注射器
💊,物,薬
🩹,物,ばんそうこう
🚪,物,ドア
🪞,物,鏡
🪟,物,窓
🛏️,物,ベッド
🛋️,物,ソファーとランプ
🪑,物,イス
🚽,物,トイレ
🪠,物,ラバーカップ
🚿,物,シャワー
🛁,物,バスタブ
🪒,物,カミソリ
🧴,物,ローションボトル
🧷,物,安全ピン
🧹,物,ほうき
🧺,物,バスケット
🧻,物,トイレットペーパー
🪣,物,バケツ
🧼,物,せっけん
🪥,物,歯ブラシ
🧽,物,スポンジ
🧯,物,消火器
🛒,物,ショッピングカート
🚬,物,タバコ
🪧,物,プラカード
♨️,シンボル,温泉
💈,シンボル,床屋
🕛,シンボル,12時
🕧,シンボル,12時半
🕐,シンボル,1時
🕜,シンボル,1時半
🕑,シンボル,2時
🕝,シンボル,2時半
🕒,シンボル,3時
🕞,シンボル,3時半
🕓,シンボル,4時
🕟,シンボル,4時半
🕔,シンボル,5時
🕠,シンボル,5時半
🕕,シンボル,6時
🕡,シンボル,6時半
🕖,シンボル,7時
🕢,シンボル,7時半
🕗,シンボル,8時
🕣,シンボル,8時半
🕘,シンボル,9時
🕤,シンボル,9時半
🕙,シンボル,10時
🕥,シンボル,10時半
🕚,シンボル,11時
🕦,シンボル,11時半
🌀,シンボル,サイクロン
♠️,シンボル,スペード
♥️,シンボル,ハート
♦️,シンボル,ダイヤ
📢,シンボル,拡声器
📣,シンボル,メガホン
🔔,シンボル,ベル
⬆️,シンボル,上
↗️,シンボル,右上
➡️,シンボル,右
↘️,シンボル,右下
⬇️,シンボル,下
↙️,シンボル,左下
⬅️,シンボル,左
↖️,シンボル,左上
